#;Result;Status;Operator;Program Graph Node;Minimal?;Primitive Arc?;Source Primitive Arc?;Target Primitive Arc?;Equivalent?;Distance Begin;Distance Begin (min);Distance Begin (max);Distance Begin (avg);Distance End;Distance End (min);Distance End (max);Distance End (avg);Source Node;Target Node;Sources Nodes are primitive?;Targets Nodes are primitive?
138;Dead;Active;u-CRCR;13;0;1;1;0;0;[5];5;5;5.0;[5, 2];2;5;3.5;[12, 14];[15, 16];[0, 0];[1, 0]
139;Dead;Active;u-CRCR;13;0;1;1;0;0;[5];5;5;5.0;[5, 2];2;5;3.5;[12, 14];[15, 16];[0, 0];[1, 0]
140;Dead;Active;u-CRCR;13;0;1;1;0;0;[5];5;5;5.0;[5, 2];2;5;3.5;[12, 14];[15, 16];[0, 0];[1, 0]
141;Dead;Active;u-CRCR;13;0;1;1;0;0;[5];5;5;5.0;[5, 2];2;5;3.5;[12, 14];[15, 16];[0, 0];[1, 0]
142;Dead;Active;u-CRCR;13;0;1;1;0;0;[5];5;5;5.0;[5, 2];2;5;3.5;[12, 14];[15, 16];[0, 0];[1, 0]
143;Dead;Active;u-CRCR;15;0;1;0;1;0;[6];6;6;6.0;[4];4;4;4.0;[13];[14];[1];[0]
144;Dead;Active;u-CRCR;15;0;1;0;1;0;[6];6;6;6.0;[4];4;4;4.0;[13];[14];[1];[0]
145;Dead;Active;u-CRCR;15;0;1;0;1;0;[6];6;6;6.0;[4];4;4;4.0;[13];[14];[1];[0]
146;Dead;Active;u-CRCR;15;0;1;0;1;0;[6];6;6;6.0;[4];4;4;4.0;[13];[14];[1];[0]
147;Dead;Active;u-CRCR;15;0;1;0;1;0;[6];6;6;6.0;[4];4;4;4.0;[13];[14];[1];[0]
148;Dead;Active;u-CRCR;15;0;1;0;1;0;[6];6;6;6.0;[4];4;4;4.0;[13];[14];[1];[0]
149;Dead;Active;u-CRCR;15;0;1;0;1;0;[6];6;6;6.0;[4];4;4;4.0;[13];[14];[1];[0]
150;Dead;Active;u-CRCR;15;0;1;0;1;0;[6];6;6;6.0;[4];4;4;4.0;[13];[14];[1];[0]
151;Dead;Active;u-CRCR;15;0;1;0;1;0;[6];6;6;6.0;[4];4;4;4.0;[13];[14];[1];[0]
152;Dead;Active;u-CRCR;15;0;1;0;1;0;[6];6;6;6.0;[4];4;4;4.0;[13];[14];[1];[0]
153;Dead;Active;u-OCNG;2;0;0;0;0;0;[1];1;1;1.0;[3, 7, 10, 9, 9, 6];3;10;7.333333333333333;[1, 3];[4, 8];[1, 1];[1, 0]
154;Dead;Active;u-OCNG;4;0;1;1;0;0;[2];2;2;2.0;[2, 6, 9];2;9;5.666666666666667;[2];[5, 7];[0];[1, 1]
155;Dead;Active;u-OCNG;9;0;1;1;0;0;[3];3;3;3.0;[7, 7, 4];4;7;6.0;[8, 10];[11, 12];[0, 0];[1, 0]
156;Dead;Active;u-OCNG;13;0;1;1;0;0;[5];5;5;5.0;[5, 2];2;5;3.5;[12, 14];[15, 16];[0, 0];[1, 0]
157;Equivalent;Active;u-OEAA;1;0;1;1;1;1;[0];0;0;0.0;[4, 8, 11, 10, 10, 7];4;11;8.333333333333334;[];[2];[];[0]
158;Dead;Active;u-OEAA;1;0;1;1;1;0;[0];0;0;0.0;[4, 8, 11, 10, 10, 7];4;11;8.333333333333334;[];[2];[];[0]
159;Dead;Active;u-OEAA;1;0;1;1;1;0;[0];0;0;0.0;[4, 8, 11, 10, 10, 7];4;11;8.333333333333334;[];[2];[];[0]
160;Dead;Active;u-OEAA;1;0;1;1;1;0;[0];0;0;0.0;[4, 8, 11, 10, 10, 7];4;11;8.333333333333334;[];[2];[];[0]
161;Dead;Active;u-OEAA;1;0;1;1;1;0;[0];0;0;0.0;[4, 8, 11, 10, 10, 7];4;11;8.333333333333334;[];[2];[];[0]
162;Dead;Active;u-OEAA;7;1;1;0;1;0;[3];3;3;3.0;[5, 8];5;8;6.5;[4];[3];[1];[1]
163;Dead;Active;u-OEAA;7;1;1;0;1;0;[3];3;3;3.0;[5, 8];5;8;6.5;[4];[3];[1];[1]
164;Dead;Active;u-OEAA;7;1;1;0;1;0;[3];3;3;3.0;[5, 8];5;8;6.5;[4];[3];[1];[1]
165;Equivalent;Active;u-OEAA;7;0;1;0;1;1;[3];3;3;3.0;[5, 8];5;8;6.5;[4];[3];[1];[1]
166;Equivalent;Active;u-OEAA;7;0;1;0;1;1;[3];3;3;3.0;[5, 8];5;8;6.5;[4];[3];[1];[1]
167;Equivalent;Active;u-OEAA;8;0;0;0;0;1;[2];2;2;2.0;[8, 8, 5];5;8;7.0;[2];[9];[0];[1]
168;Dead;Active;u-OEAA;8;0;0;0;0;0;[2];2;2;2.0;[8, 8, 5];5;8;7.0;[2];[9];[0];[1]
169;Dead;Active;u-OEAA;8;0;0;0;0;0;[2];2;2;2.0;[8, 8, 5];5;8;7.0;[2];[9];[0];[1]
170;Dead;Active;u-OEAA;8;0;0;0;0;0;[2];2;2;2.0;[8, 8, 5];5;8;7.0;[2];[9];[0];[1]
171;Dead;Active;u-OEAA;8;0;0;0;0;0;[2];2;2;2.0;[8, 8, 5];5;8;7.0;[2];[9];[0];[1]
172;Dead;Active;u-OEAA;11;0;1;0;1;0;[4];4;4;4.0;[6];6;6;6.0;[9];[10];[1];[0]
173;Dead;Active;u-OEAA;11;0;1;0;1;0;[4];4;4;4.0;[6];6;6;6.0;[9];[10];[1];[0]
174;Dead;Active;u-OEAA;11;0;1;0;1;0;[4];4;4;4.0;[6];6;6;6.0;[9];[10];[1];[0]
175;Equivalent;Active;u-OEAA;11;0;1;0;1;1;[4];4;4;4.0;[6];6;6;6.0;[9];[10];[1];[0]
176;Dead;Active;u-OEAA;11;0;1;0;1;0;[4];4;4;4.0;[6];6;6;6.0;[9];[10];[1];[0]
