,_IM_PROGRAM,_IM_OPERATOR,_IM_SOURCE_PRIMITIVE_ARC,_IM_TARGET_PRIMITIVE_ARC,_IM_DISTANCE_BEGIN_MIN,_IM_DISTANCE_BEGIN_MAX,_IM_DISTANCE_BEGIN_AVG,_IM_DISTANCE_END_MIN,_IM_DISTANCE_END_MAX,_IM_DISTANCE_END_AVG,_IM_COMPLEXITY,_IM_TYPE_STATEMENT,_IM_MINIMAL,_IM_EQUIVALENT,PREDICTED,RESULT
138,findVal,u-VDTR,0,0,0.5,0.4,0.4444444444444444,0.0,0.0,0.0,0.18181818181818185,Return,0,0,0,1
139,findVal,u-VDTR,0,0,0.5,0.4,0.4444444444444444,0.0,0.0,0.0,0.18181818181818185,Return,0,0,0,1
140,findVal,u-VDTR,0,0,0.5,0.4,0.4444444444444444,0.0,0.0,0.0,0.18181818181818185,Return,1,0,0,1
141,findVal,u-VLSR,0,0,0.0,0.0,0.0,0.5,1.0,1.0,0.24242424242424246,For,0,0,0,1
142,findVal,u-VLSR,0,0,0.0,0.0,0.0,0.5,1.0,1.0,0.24242424242424246,For,0,0,0,1
143,findVal,u-VLSR,0,0,0.0,0.0,0.0,0.5,1.0,1.0,0.24242424242424246,For,0,0,0,1
144,findVal,u-VLSR,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,0,0,1,0
145,findVal,u-VLSR,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,0,0,1,0
146,findVal,u-VLSR,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,0,0,1,0
147,findVal,u-VLSR,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,0,0,1,0
148,findVal,u-VLSR,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,0,0,1,0
149,findVal,u-VLSR,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,0,0,1,0
150,findVal,u-VLSR,0,0,1.0,1.0,1.0,0.5,0.2857142857142857,0.4,0.0,For,0,0,0,1
151,findVal,u-VLSR,0,0,1.0,1.0,1.0,0.5,0.2857142857142857,0.4,0.0,For,0,0,0,1
152,findVal,u-VLSR,0,0,1.0,1.0,1.0,0.5,0.2857142857142857,0.4,0.0,For,0,0,0,1
153,findVal,u-VLSR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
154,findVal,u-VLSR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
155,findVal,u-VLSR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
156,findVal,u-VLSR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
157,findVal,u-VLSR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
158,findVal,u-VLSR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
159,findVal,u-VLSR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
160,findVal,u-VLSR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
161,findVal,u-VLSR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
162,findVal,u-VLSR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
163,findVal,u-VLSR,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.3939393939393939,Assignment,0,0,0,1
164,findVal,u-VLSR,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.3939393939393939,Assignment,0,0,0,1
165,findVal,u-VLSR,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.3939393939393939,Assignment,0,0,0,1
166,findVal,u-VLSR,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.3939393939393939,Assignment,0,0,0,1
167,findVal,u-VLSR,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.3939393939393939,Assignment,0,0,0,1
168,findVal,u-VLSR,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.3939393939393939,Assignment,0,0,0,1
169,findVal,u-VLSR,0,0,0.5,0.4,0.4444444444444444,0.0,0.0,0.0,0.18181818181818185,Return,0,0,0,1
170,findVal,u-VLSR,0,0,0.5,0.4,0.4444444444444444,0.0,0.0,0.0,0.18181818181818185,Return,0,0,0,1
171,findVal,u-VLSR,0,0,0.5,0.4,0.4444444444444444,0.0,0.0,0.0,0.18181818181818185,Return,0,0,0,1
172,findVal,u-VTWD,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,1,0,0,1
173,findVal,u-VTWD,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,0,0,1,0
174,findVal,u-VTWD,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,0,0,1,0
175,findVal,u-VTWD,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,1,0,0,1
176,findVal,u-VTWD,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
177,findVal,u-VTWD,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
178,findVal,u-VTWD,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
179,findVal,u-VTWD,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
180,findVal,u-VTWD,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
181,findVal,u-VTWD,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
182,findVal,u-VTWD,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.3939393939393939,Assignment,0,0,0,1
183,findVal,u-VTWD,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.3939393939393939,Assignment,0,0,0,1
184,findVal,u-VTWD,0,0,0.5,0.4,0.4444444444444444,0.0,0.0,0.0,0.18181818181818185,Return,0,0,0,1
185,findVal,u-VTWD,0,0,0.5,0.4,0.4444444444444444,0.0,0.0,0.0,0.18181818181818185,Return,0,0,0,1
186,findVal,u-VVDL,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,0,0,1,0
187,findVal,u-VVDL,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,0,0,1,0
188,findVal,u-VVDL,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
189,findVal,u-VVDL,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
